DRAINAGE POINT,Date,MonthlyOil (bbl),MonthlyGAS (scf),MonthlyWATER (bbl),CONDENSATE (M3),PROD_DAYS
WELL001L-RES1,9/30/1980,16033.21,1341970,21763.4,,30
WELL001L-RES1,10/31/1980,19467.55,1094765,20933.12,,31
WELL001L-RES1,11/30/1980,6830.94,1094765,18926.61,,30
WELL001L-RES1,12/31/1980,6749.17,2472050,22235.15,,31
WELL001L-RES1,1/31/1981,14529.9,1942325,18448.57,,31
WELL001L-RES1,2/28/1981,8724.23,882875,17284.91991,,28
WELL001L-RES1,3/31/1981,11969.87,1059450,18266.16,,31
WELL001L-RES1,4/30/1981,10284.15,918190,23776.2,,30
WELL001L-RES1,5/31/1981,496.91,35315,1088.17,,31
WELL001L-RES1,6/30/1981,358.53,105945,12.58,,30
WELL001L-RES1,7/31/1981,0,0,0,,31
WELL001L-RES1,8/31/1981,0,0,0,,31
WELL001L-RES1,9/30/1981,0,0,0,,30
WELL001L-RES1,10/31/1981,0,0,0,,31
WELL001L-RES1,11/30/1981,0,0,0,,30
WELL001L-RES1,12/31/1981,0,0,0,,31
WELL001L-RES1,1/31/1982,8535.53,1165395,12806.44,,31
WELL001L-RES1,2/28/1982,5120.06,847560,4138.81991,,28
WELL001L-RES1,3/31/1982,16687.37,1447915,20153.16,,31
WELL001L-RES1,4/30/1982,14441.84,1518545,33148.3,,30
WELL001L-RES1,5/31/1982,11252.81,1200710,19794.63,,31
WELL001L-RES1,6/30/1982,6277.41991,741615,10875.41,,30
WELL001L-RES1,7/31/1982,10397.37,1094765,15083.41991,,31
WELL001L-RES1,8/31/1982,8623.59,1094765,18410.83,,31
WELL001L-RES1,9/30/1982,10007.39,2118900,25682.07,,30
WELL001L-RES1,10/31/1982,9076.47,7486780,19209.66,,31
WELL001L-RES1,11/30/1982,11428.93,1130080,18989.51,,30
WELL001L-RES1,12/31/1982,7900.24,600355,11535.86,,31
WELL001L-RES1,1/31/1983,11837.78,812245,24839.21,,31
WELL001L-RES1,2/28/1983,10881.7,918190,18876.29,,28
WELL001L-RES1,3/31/1983,8673.91,812245,20870.21991,,31
WELL001L-RES1,4/30/1983,15045.68,1130080,26663.31,,30
WELL001L-RES1,5/31/1983,14800.37,1341970,37595.33,,31
WELL001L-RES1,6/30/1983,14542.48,1165395,30468.76,,30
WELL001L-RES1,7/31/1983,12875.63,1059450,30732.94,,31
WELL001L-RES1,8/31/1983,21794.85,1377285,45841.51991,,31
WELL001L-RES1,9/30/1983,26109.79,1059450,45426.38,,30
WELL001L-RES1,10/31/1983,22021.29,1871695,41451.1,,31
WELL001L-RES1,11/30/1983,20964.57,1765750,56610,,30
WELL001L-RES1,12/31/1983,21606.15,1942325,40230.84,,31
WELL001L-RES1,1/31/1984,20574.59,1871695,51515.1,,31
WELL001L-RES1,2/29/1984,19738.02,1730435,42514.11,,29
WELL001L-RES1,3/31/1984,25644.33,2330790,40362.93,,31
WELL001L-RES1,4/30/1984,19656.25,1801065,35601.4,,30
WELL001L-RES1,5/31/1984,18190.68,1659805,44923.18,,31
WELL001L-RES1,6/30/1984,18561.79,1765750,38236.91,,30
WELL001L-RES1,7/31/1984,17498.78,1589175,43344.39,,31
WELL001L-RES1,8/31/1984,19914.14,1836380,36526.03,,31
WELL001L-RES1,9/30/1984,12278.08,1483230,15479.69,,30
WELL001L-RES1,10/31/1984,23260.42,2436735,32167.06,,31
WELL001L-RES1,11/30/1984,8686.49,741615,14894.72,,30
WELL001L-RES1,12/31/1984,18354.22,2012955,20209.77,,31
WELL001L-RES1,1/31/1985,14190.24,918190,9441.29,,31
WELL001L-RES1,2/28/1985,15536.3,882875,10906.86,,28
WELL001L-RES1,3/31/1985,5365.37,1236025,13844.29,,31
WELL001L-RES1,4/30/1985,11007.5,918190,10586.07,,30
WELL001L-RES1,5/31/1985,9762.08,882875,10693,,31
WELL001L-RES1,6/30/1985,13806.55,847560,10686.71,,30
WELL001L-RES1,7/31/1985,21970.97,2613310,22631.41991,,31
WELL001L-RES1,8/31/1985,9900.46,1024135,10365.91991,,31
WELL001L-RES1,9/30/1985,15360.18,2401420,19668.83,,30
WELL001L-RES1,10/31/1985,9988.51991,2083585,16322.55,,31
WELL001L-RES1,11/30/1985,5711.31991,2472050,7717.83,,30
WELL001L-RES1,12/31/1985,6522.73,1236025,6252.26,,31
WELL001L-RES1,1/31/1986,4994.26,847560,8799.71,,31
WELL001L-RES1,2/28/1986,0,0,0,,28
WELL001L-RES1,3/31/1986,13026.59,1977640,38268.36,,31
WELL001L-RES1,4/30/1986,6378.06,706300,17152.83,,30
WELL001L-RES1,5/31/1986,10051.41991,1236025,11026.37,,31
WELL001L-RES1,6/30/1986,10881.7,2507365,20983.44,,30
WELL001L-RES1,7/31/1986,12070.51,3178350,20996.01991,,31
WELL001L-RES1,8/31/1986,3327.41,565040,7925.4,,31
WELL001L-RES1,9/30/1986,10472.85,1730435,28669.82,,30
WELL001L-RES1,10/31/1986,12988.85,1977640,51810.73,,31
WELL001L-RES1,11/30/1986,2182.63,776930,8843.74,,30
WELL001L-RES1,12/31/1986,0,0,0,,31
WELL001L-RES1,1/31/1987,0,0,0,,31
WELL001L-RES1,2/28/1987,0,0,0,,28
WELL001L-RES1,3/31/1987,0,0,0,,31
WELL001L-RES1,4/30/1987,22442.71991,1059450,6214.52,,30
WELL001L-RES1,5/31/1987,18838.55,3107720,4711.21,,31
WELL001L-RES1,6/30/1987,9189.69,812245,9516.77,,30
WELL001L-RES1,7/31/1987,2843.08,211890,3069.52,,31
WELL001L-RES1,8/31/1987,7856.21,3001775,9994.81,,31
WELL001L-RES1,9/30/1987,7252.37,3037090,7755.57,,30
WELL001L-RES1,10/31/1987,7032.21991,2542680,7334.14,,31
WELL001L-RES1,11/30/1987,163.54,35315,176.11991,,30
WELL001L-RES1,12/31/1987,0,0,0,,31
WELL001L-RES1,1/31/1988,930.91991,706300,836.57,,31
WELL001L-RES1,2/29/1988,9227.43,5650400,30984.54,,29
WELL001L-RES1,3/31/1988,15844.51,2330790,28518.86,,31
WELL001L-RES1,4/30/1988,2333.59,247205,8573.27,,30
WELL001L-RES1,5/31/1988,7868.79,1624490,13454.31,,31
WELL001L-RES1,6/30/1988,849.15,282520,905.76,,30
WELL001L-RES1,7/31/1988,1717.17,882875,6365.48,,31
WELL001L-RES1,8/31/1988,1534.76,741615,5466.01,,31
WELL001L-RES1,9/30/1988,4277.1991,1553860,779.96,,30
WELL001L-RES1,10/31/1988,8221.03,670985,11466.67,,31
WELL001L-RES1,11/30/1988,14888.43,1518545,19071.28,,30
WELL001L-RES1,12/31/1988,10630.1,776930,22688.03,,31
WELL001L-RES1,1/31/1989,9579.67,2825200,27587.94,,31
WELL001L-RES1,2/28/1989,7585.74,2860515,25518.53,,28
WELL001L-RES1,3/31/1989,6579.34,1977640,23291.87,,31
